,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,improve-tech-15,improve-ur-15,improve-vis-15,improve-novel-15,improve-total-15,improve-tech-45,improve-ur-45,improve-vis-45,improve-novel-45,improve-total-45,Q17,Q18,Q10,Q11,Q12,Q13,Q14,Q24
78,4,1,2,0,2,3,6,4,5,4,2,5,4,2,5,5,5,5,2,4,5,1,2,6,1,5,0,5,1,3,0,4,5,4,2,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Average,2,2,2,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
79,0,0,5,4,6,0,6,6,6,6,4,6,0,6,5,5,6,6,5,1,4,3,6,6,6,6,6,6,5,5,5,6,5,5,3,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,bottom of the class,0,0,3,6,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
80,3,4,5,3,5,3,6,4,5,5,3,5,4,4,5,5,5,5,3,4,3,4,4,3,1,2,1,4,1,1,0,1,3,3,2,12.5,0,0,0,12.5,12.5,0,0,0,12.5,Male,Hispanic/Latino,Average,0,0,0,7,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,-12.5,0,37.5,12.5,0,0,0,12.5,Male,Hispanic/Latino,Average,0,0,4,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
82,3,4,3,4,5,3,5,4,5,4,4,3,5,4,5,5,5,5,4,4,3,4,4,3,3,3,3,5,1,2,1,1,4,5,1,62.5,20,25,0,107.5,12.5,0,0,0,12.5,Female,Multiracial,Average,0,0,6,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
83,2,3,4,3,3,4,5,5,5,4,3,4,3,5,4,3,4,4,4,5,4,5,3,1,0,4,1,5,0,1,0,3,3,1,1,25,-20,-4.17,0,0.83,0,-20,0,0,-20,Male,White,Average,0,0,0,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
84,5,6,4,4,5,4,6,5,5,5,6,4,6,6,6,6,6,6,6,4,6,5,6,0,0,6,0,6,1,3,0,2,5,4,3,37.5,40,50,25,152.5,0,0,-4.17,25,20.83,Male,Hispanic/Latino,Below Average,0,0,6,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
85,1,5,5,3,4,5,5,5,5,3,1,4,5,4,5,5,5,5,4,3,3,3,4,2,1,4,2,5,1,0,1,0,4,4,2,87.5,80,66.67,80,314.17,87.5,80,66.67,80,314.17,Male,Hispanic/Latino,Average,0,0,0,5,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
86,3,5,6,0,5,3,6,5,3,5,3,2,6,3,4,4,3,4,6,5,6,4,6,1,3,1,1,3,0,2,1,1,2,3,1,25,80,25,87.5,217.5,0,20,0,25,45,Male,Hispanic/Latino,Average,0,0,15,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
87,5,5,4,4,3,6,5,5,5,5,3,4,6,6,5,6,5,5,4,5,5,4,4,1,1,4,1,5,0,5,0,5,5,5,2,12.5,40,20.83,12.5,85.83,12.5,0,16.67,-12.5,16.67,Male,Hispanic/Latino,Average,0,0,5,4,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
88,5,5,5,4,4,4,5,5,4,5,4,4,5,5,4,4,4,5,3,3,4,4,3,3,3,3,2,3,1,3,2,4,2,2,2,37.5,0,8.33,0,45.83,0,0,8.33,0,8.33,Male,Not Listed (please specify),Average,0,0,0,0,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
89,1,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,12.5,0,0,25,37.5,0,-20,16.66,25,21.66,Female,Hispanic/Latino,Average,2,2,7,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
90,6,6,6,5,4,4,6,6,3,6,3,4,6,5,6,6,6,4,5,4,6,5,5,5,3,6,3,6,1,3,0,4,5,5,2,0,0,0,0,0,0,0,0,0,0,Male,Prefer not to respond,Average,0,0,0,6,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
91,2,3,1,1,2,3,3,2,1,2,3,1,6,2,0,6,4,5,2,4,2,1,5,2,0,5,0,5,0,0,0,0,3,1,1,37.5,20,8.33,62.5,128.33,12.5,20,-4.17,0,28.33,Male,Hispanic/Latino,Average,6,2,6,0,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
92,1,3,5,5,5,4,4,5,4,4,3,5,4,4,5,5,5,3,4,5,5,3,4,3,1,4,4,5,1,1,1,3,4,5,4,12.5,0,-12.5,-37.5,-37.5,0,0,-8.33,25,16.67,Female,Hispanic/Latino,Below Average,2,2,15,3,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
93,5,5,5,5,4,5,6,5,5,6,4,4,4,4,5,5,5,4,5,4,5,3,4,4,1,4,1,5,1,2,1,2,5,5,2,100,60,45.83,66.67,272.5,25,20,12.5,66.67,124.17,Male,Hispanic/Latino,Top 10,1,0,0,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
94,4,5,4,3,4,5,5,4,4,5,3,4,4,5,5,4,4,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,4,2,50,0,-16.67,87.5,120.83,0,-20,-12.5,0,-32.5,Male,Hispanic/Latino,Average,0,0,0,2,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
95,3,5,4,3,6,4,6,6,4,3,4,3,5,2,4,3,5,3,4,4,4,2,3,1,2,3,2,4,1,3,1,2,2,4,2,50,80,29.16,16.25,175.41,25,0,-12.5,-27.5,-15,Male,Prefer not to respond,Average,8,8,5,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
96,4,4,2,3,3,5,5,6,5,5,3,2,5,3,4,3,3,4,5,4,4,4,5,4,5,5,4,5,3,4,3,4,4,3,2,25,20,29.17,0,74.17,0,0,-8.33,25,16.67,Male,Hispanic/Latino,Average,0,0,6,5,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
97,0,4,3,3,4,4,6,5,5,5,5,4,4,5,5,6,5,5,2,2,2,2,5,4,5,6,1,5,1,1,1,1,5,4,2,-12.5,80,33.33,65,165.83,0,-20,-16.67,-22.5,-59.17,Female,Hispanic/Latino,Average,0,0,45,1,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
98,4,6,6,3,4,6,6,6,6,6,6,6,3,5,5,3,5,5,5,3,5,4,5,2,4,5,1,6,0,3,0,3,5,2,2,25,60,20.83,9.38,115.21,0,0,8.33,13.55,21.88,Male,Hispanic/Latino,Top 10,10,0,20,5,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
99,4,5,4,3,4,5,6,6,5,5,3,6,5,6,5,4,5,6,5,6,4,5,4,1,0,6,0,5,0,1,0,0,6,4,0,50,80,37.5,72.5,240,0,40,8.34,-5.63,42.71,Male,Hispanic/Latino,Average,1,1,0,4,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
100,3,5,6,5,5,5,6,6,4,6,5,4,6,3,3,3,3,3,5,5,5,5,6,0,0,4,0,5,0,3,0,0,2,2,2,37.5,0,0,0,37.5,12.5,0,0,0,12.5,Male,Hispanic/Latino,Average,0,1,1,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
101,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,2,87.5,0,25,62.5,175,25,-20,-8.33,-12.5,-15.83,Male,Hispanic/Latino,Average,0,0,15,7,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
102,4,4,3,0,0,0,6,6,5,6,0,0,6,3,5,5,6,5,0,0,0,0,0,0,0,4,0,5,0,0,0,0,5,4,2,37.5,0,-4.17,62.5,145,12.5,-20,-4.17,-12.5,-24.17,Female,Hispanic/Latino,Average,1,3,2,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
103,2,1,2,3,3,1,2,1,1,2,2,3,1,2,5,4,4,3,4,3,4,4,5,4,2,3,3,2,2,4,2,3,3,3,2,25,80,25,100,230,12.5,0,-4.17,100,108.33,Male,Hispanic/Latino,Average,0,0,2,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
104,3,6,6,2,4,4,5,3,5,3,3,4,5,4,5,5,4,4,4,2,5,1,4,2,2,4,0,5,0,1,0,2,4,4,2,87.5,60,29.16,-6.25,170.41,25,0,0,37.5,62.5,Male,Hispanic/Latino,bottom of the class,0,0,3,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
105,3,4,5,1,4,3,6,5,3,4,2,4,6,2,5,4,5,6,1,4,2,1,5,3,1,5,1,5,1,4,1,3,4,3,1,0,0,0,-37.5,-37.5,25,0,0,0,25,Female,Hispanic/Latino,Top 10,1,1,15,6,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
106,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,25,0,12.5,12.5,50,0,0,0,12.5,12.5,Male,Hispanic/Latino,Average,0,2,40,10,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
107,0,4,5,0,4,5,5,5,5,5,0,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,5,1,1,3,3,2,50,0,0,-37.5,12.5,25,0,0,12.5,37.5,Female,Hispanic/Latino,Below Average,0,0,0,1,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
108,6,5,4,4,4,4,5,6,3,5,1,2,3,1,3,3,4,4,5,4,5,3,5,4,4,2,4,4,3,3,4,3,5,6,1,50,20,25,0,95,-12.5,0,0,0,-12.5,Male,Hispanic/Latino,Average,2,0,0,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
109,0,3,3,0,0,4,4,4,0,4,0,3,6,6,6,6,6,6,6,5,6,5,5,3,1,5,1,4,1,1,1,1,3,2,1,62.5,20,12.5,75,170,12.5,0,12.5,75,100,Male,Prefer not to respond,Below Average,0,0,1,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
110,3,6,6,4,5,4,6,5,6,5,3,4,1,6,5,6,4,6,6,6,4,5,5,1,0,6,1,6,0,1,0,3,6,5,2,25,0,8.33,-62.5,-29.17,0,0,8.33,-25,-16.67,Male,Hispanic/Latino,Below Average,0,2,0,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
111,5,3,5,1,1,4,6,6,6,6,4,6,0,4,5,4,6,5,5,0,6,4,6,2,0,5,4,6,1,4,0,2,6,5,3,12.5,40,25,0,77.5,12.5,0,0,62.5,75,Male,Hispanic/Latino,Average,0,0,4,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
112,3,4,4,3,3,4,5,5,4,5,3,3,6,4,5,5,5,5,3,3,3,3,3,3,2,5,2,5,2,3,3,3,4,3,2,50,20,0,0,70,12.5,0,0,0,12.5,Male,Hispanic/Latino,Below Average,2,2,4,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
113,3,5,4,1,4,0,6,5,5,3,1,3,6,6,5,5,5,5,4,5,5,4,1,4,4,5,1,5,1,5,0,4,6,6,1,50,20,45.84,3.13,118.96,37.5,20,33.34,7.3,98.12,Male,Hispanic/Latino,Average,10,10,4,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
114,4,2,2,3,5,3,6,5,4,5,2,4,6,4,5,5,5,4,1,4,4,4,1,5,1,5,1,5,0,2,0,4,5,4,2,75,40,33.34,37.5,185.84,0,20,16.67,12.5,49.17,Male,Hispanic/Latino,Average,1,3,8,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
115,4,5,5,6,6,5,6,4,5,5,3,5,3,5,6,5,6,4,4,3,6,5,5,5,1,5,2,6,3,4,2,3,4,2,2,25,0,16.66,-37.5,4.16,0,0,20.83,0,20.83,Male,Hispanic/Latino,Average,0,0,0,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
116,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,4,3,4,3,3,4,4,4,4,4,4,3,2,3,3,3,1,62.5,0,4.16,33.33,100,50,-20,0,8.33,38.34,Male,Hispanic/Latino,Average,0,1,8,10,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
117,2,4,6,2,1,3,4,3,3,5,1,3,2,5,5,5,5,5,6,5,4,3,3,3,4,5,1,5,1,1,1,1,6,3,3,75,0,0,-12.5,62.5,87.5,0,25,12.5,125,Male,Hispanic/Latino,Below Average,0,0,10,4,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
118,6,6,6,4,6,6,6,6,6,6,4,5,6,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,12.5,40,50,-5,97.5,50,100,62.5,70,282.5,Male,Hispanic/Latino,Below Average,0,0,5,10,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
119,4,4,5,1,4,4,6,5,2,5,3,5,3,5,5,6,6,5,4,5,3,4,5,6,1,5,3,6,3,3,1,5,5,4,2,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Top 10,2,1,1,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
120,4,6,4,5,4,4,5,5,4,5,0,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,5,5,3,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Average,1,1,8,6,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
121,3,3,4,3,4,3,4,3,3,4,3,3,4,4,4,4,3,3,4,4,3,4,4,4,1,4,1,3,1,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Average,5,5,10,10,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
122,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,1,1,4,1,4,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,bottom of the class,0,0,50,6,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
123,0,2,3,1,1,4,1,1,4,0,1,2,6,4,3,5,3,4,4,3,5,3,5,3,0,6,0,4,0,0,0,0,4,4,1,62.5,100,20.84,87.5,270.84,0,20,-4.16,12.5,28.34,Female,Multiracial,Top 10,0,0,10,1,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
124,4,5,6,5,5,5,1,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,5,3,5,5,5,4,4,4,4,4,5,4,3,37.5,80,45.83,30,193.33,-12.5,0,4.17,5,-3.33,Male,Hispanic/Latino,bottom of the class,0,0,0,4,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
125,4,3,2,0,4,3,6,3,4,5,0,4,0,5,6,6,6,4,3,4,4,5,5,4,1,4,0,5,0,2,0,2,3,3,1,25,0,8.33,-10,23.33,0,0,4.17,2.5,6.67,Male,Hispanic/Latino,Below Average,0,0,2,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
126,3,5,5,3,4,3,5,5,3,3,3,3,6,4,5,5,5,4,4,4,4,4,4,5,5,4,5,6,4,3,3,4,5,6,2,75,40,12.5,56.25,183.75,12.5,0,0,56.25,68.75,Male,Hispanic/Latino,Average,0,0,0,5,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
127,3,6,4,5,5,3,5,5,5,5,3,4,4,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,2,6,4,4,6,5,2,62.5,0,25,25,112.5,0,0,0,0,0,Male,Hispanic/Latino,Top 10,0,4,4,10,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
128,2,3,3,2,3,4,6,5,5,3,4,4,5,2,4,2,4,4,3,3,4,4,3,1,1,4,2,4,1,5,1,3,4,4,1,87.5,80,41.66,95,304.16,0,80,83.33,95,258.33,Male,Hispanic/Latino,Average,0,0,0,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
129,3,3,6,3,4,5,6,4,5,5,4,4,5,4,6,6,6,5,4,4,5,4,5,3,2,4,3,5,1,2,1,4,4,3,1,50,20,33.33,0,103.33,12.5,0,0,0,12.5,Male,Hispanic/Latino,Average,0,0,0,5,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
130,5,2,4,3,1,3,5,4,3,3,4,4,6,4,2,5,3,4,1,3,4,3,5,5,2,4,3,4,0,1,2,3,2,0,1,37.5,-20,-20.83,0,-3.33,12.5,-20,0,0,-7.5,Male,Hispanic/Latino,Top 10,10,10,4,2,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
131,3,3,3,3,4,3,6,5,4,4,3,4,5,3,4,3,5,5,4,3,5,5,5,3,1,4,1,4,0,1,0,2,4,4,2,37.5,20,20.83,10,88.33,37.5,0,0,72.5,110,Male,Hispanic/Latino,Average,0,0,0,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
132,3,5,5,4,5,4,6,5,6,5,5,3,3,5,4,1,5,2,5,4,5,5,5,4,4,5,4,6,3,3,3,3,5,5,3,50,-40,-12.5,56.25,53.75,12.5,20,45.83,56.25,134.58,Male,Hispanic/Latino,Top 10,0,0,4,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
133,5,5,3,4,3,4,5,5,4,4,3,4,6,5,5,5,5,5,5,5,5,5,5,0,0,4,0,5,0,1,0,1,5,6,2,0,20,0,25,45,0,0,4.17,25,29.17,Female,Hispanic/Latino,Average,0,0,4,1,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
134,3,4,3,3,3,2,6,3,2,3,3,4,4,3,5,5,4,4,2,2,3,3,3,2,0,3,0,4,0,1,0,0,4,2,1,25,0,25,25,75,25,0,25,25,75,Male,Hispanic/Latino,Average,0,0,0,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
135,4,5,3,4,4,5,4,4,5,5,5,4,3,4,4,4,4,2,4,3,4,3,3,4,3,3,5,4,4,4,5,3,5,4,2,50,80,20.83,60,210.83,25,40,16.67,-15,66.67,Male,Hispanic/Latino,Below Average,6,3,0,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
136,0,6,6,3,6,6,5,5,5,5,1,5,4,3,5,5,5,4,2,5,2,5,3,3,0,6,0,6,0,0,0,0,3,5,2,25,40,54.16,37.5,156.66,0,0,16.66,25,41.66,Male,White,Top 10,2,2,2,2,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
137,2,3,3,3,3,3,4,4,3,3,3,4,4,4,3,4,3,4,3,3,3,3,3,2,3,3,2,4,1,3,2,3,3,2,2,62.5,40,25,81.25,208.75,25,0,20.83,81.25,127.08,Male,Hispanic/Latino,Average,2,1,0,10,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
138,2,4,3,4,4,4,5,4,4,5,4,5,1,4,4,4,5,5,3,4,3,5,5,1,1,4,1,3,1,4,1,4,3,3,2,50,0,-4.16,50,95.84,12.5,0,0,50,62.5,Male,Hispanic/Latino,Average,0,2,0,3,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
139,1,2,1,0,4,1,6,5,0,3,0,1,6,2,6,4,5,3,3,5,3,4,3,2,0,3,0,2,0,0,1,0,2,2,2,75,20,12.5,66.67,174.17,0,0,0,-33.33,-33.33,Male,Hispanic/Latino,Average,0,0,15,3,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
140,1,5,5,2,2,3,5,4,3,4,4,4,6,3,4,3,5,4,6,2,6,3,6,3,3,4,0,4,1,2,1,1,5,5,4,37.5,80,45.83,0,163.33,12.5,40,37.5,0,90,Male,Hispanic/Latino,Below Average,0,1,1,5,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
141,4,6,4,4,5,4,5,5,3,4,4,6,5,4,6,4,5,5,5,5,6,6,5,4,3,4,5,5,2,1,3,3,5,6,1,75,60,33.33,-25,143.33,12.5,60,29.17,12.5,114.17,Male,Hispanic/Latino,Average,4,4,3,3,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
142,0,6,3,0,1,5,4,2,5,3,1,4,5,4,3,2,4,3,4,3,4,3,5,1,2,2,2,1,1,3,3,1,4,3,2,87.5,20,16.66,-12.5,111.66,25,0,8.33,25,58.33,Male,Hispanic/Latino,Top 3,0,4,4,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
143,4,6,6,3,6,4,6,6,4,5,4,5,2,3,5,3,5,6,6,4,5,4,6,3,3,4,2,4,1,3,3,5,5,6,2,62.5,60,33.34,42.5,198.34,0,40,33.34,17.5,90.84,Male,Hispanic/Latino,bottom of the class,0,0,5,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
144,4,6,6,3,5,6,6,4,3,6,0,4,5,4,5,4,4,4,3,3,3,3,3,3,0,4,0,3,0,0,0,3,2,3,2,75,0,0,20.83,95.83,12.5,0,0,-4.17,8.33,Male,Hispanic/Latino,Average,4,0,10,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
145,3,4,4,2,2,2,5,5,5,4,1,3,5,5,5,4,5,5,1,3,2,3,3,1,3,5,3,5,0,1,0,1,6,6,2,62.5,40,58.33,25,185.83,25,20,25,0,70,Male,Hispanic/Latino,Average,3,2,3,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
146,0,0,1,0,0,0,4,0,0,1,4,0,6,6,3,5,3,3,5,2,5,5,2,3,2,3,4,4,0,1,0,2,4,4,1,-37.5,40,25,-18.75,8.75,0,20,8.33,0,28.33,Male,Hispanic/Latino,Top 3,16,6,2,4,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
147,0,3,2,2,5,4,6,5,5,4,3,4,5,5,4,4,3,4,5,2,4,5,4,5,4,4,6,6,5,4,5,3,6,4,1,12.5,0,-25,0,-12.5,0,0,0,0,0,Male,Hispanic/Latino,Top 3,8,8,5,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
148,3,5,5,4,5,5,5,4,5,4,3,4,4,5,4,4,5,3,3,3,4,4,4,4,4,6,4,6,1,5,3,5,6,6,2,37.5,60,12.5,81.25,191.25,25,20,4.17,6.25,55.42,Male,Hispanic/Latino,Below Average,0,0,0,2,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
149,4,5,4,4,4,5,5,5,4,5,3,3,3,5,5,5,4,5,5,5,5,5,5,5,3,5,3,6,2,2,1,3,4,4,3,25,80,41.66,62.5,209.16,0,0,4.16,4.17,8.33,Male,Prefer not to respond,Average,9,10,2,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
150,5,6,6,4,6,6,6,6,6,6,3,5,3,4,6,4,6,5,4,6,4,3,5,2,1,5,1,5,0,3,3,0,5,6,2,12.5,0,16.66,-33.33,-4.17,0,0,12.5,0,12.5,Male,Asian/Pacific Islander,Average,1,2,1,1,
151,4,4,5,3,4,3,5,4,3,5,2,4,4,3,5,4,5,5,3,5,4,4,3,3,2,4,2,3,1,1,2,3,4,3,1,62.5,0,4.16,56.25,122.91,25,0,0,56.25,81.25,Male,Hispanic/Latino,Average,0,0,7,7,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
152,3,4,5,3,5,4,5,5,5,4,2,5,6,4,4,5,5,5,4,5,4,4,5,4,3,5,3,6,3,3,3,4,5,5,2,37.5,-20,-4.17,6.25,19.58,12.5,20,4.17,93.75,130.42,Male,Hispanic/Latino,Average,0,0,35,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
153,4,3,5,4,4,4,5,3,3,5,2,4,5,5,5,5,5,5,3,3,4,3,5,1,0,3,0,3,0,0,0,0,2,2,0,25,0,4.16,57.5,86.66,12.5,0,4.16,57.5,74.16,Male,Hispanic/Latino,Average,2,2,1,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
154,4,5,6,4,6,4,5,6,6,4,4,4,5,4,4,5,5,5,5,3,5,5,3,4,4,3,5,6,4,3,4,4,6,6,2,50,0,8.33,43.75,102.08,25,0,0,-6.25,18.75,Male,Not Listed (please specify),Average,5,4,4,4,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
155,4,5,3,5,2,6,6,4,5,6,5,4,6,6,5,5,4,4,4,5,4,6,4,4,5,5,6,6,4,5,5,6,6,5,2,50,0,0,0,50,0,0,0,0,0,Male,Hispanic/Latino,Average,0,0,0,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
156,4,6,4,5,5,5,6,5,5,6,6,6,5,3,5,5,5,5,5,5,5,5,6,3,3,4,4,4,2,3,2,3,4,4,3,12.5,60,16.66,83.33,172.5,0,0,4.16,8.33,12.5,Male,Hispanic/Latino,Average,5,1,0,3,
157,3,4,0,1,3,1,4,5,5,5,5,0,6,2,4,3,4,3,3,3,3,3,3,2,1,3,2,5,1,3,4,4,5,4,2,37.5,60,20.83,32.5,150.83,0,40,-4.17,-30,5.83,Female,Multiracial,Average,0,0,10,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
