username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,novelty4,novelty_normal4,novelty_per4,novelty3,novelty_normal3,novelty_per3,novelty2,novelty_normal2,novelty_per2,novelty1,novelty_normal1,novelty_per1,total_raw4,total_norm4,total_norm_per4,total_raw3,total_norm3,total_norm_per3,total_raw2,total_norm2,total_norm_per2,total_raw1,total_norm1,total_norm_per1
alebautis,unal1,IH-Project-2017-alebautis_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,3.70%
sarguellesr,unal1,IH-Project-2017-sarguellesr_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,3.70%
davideperdomo,unal1,IH-Project-2017-davideperdomo_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, Air Quality, Neighborhood Tabulation Areas, New York City Museums, NYCHA Development Data Book, Bank-Owned ATM Locations in New York State, Required Weather API, ",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.000725689,99.92743106,8,80,92.59%,"1,0,1,1,0,1,1,1,1,",5,100,96.30%,"1.0,1.0,1.0,1.0,1.0,",6,33.33333333,92.59%,"1.0,1.0,1.0,1.0,1.0,1.0,",11,47.82608696,96.30%,31,6.888888889,96.30%,"1.0,1.0,2.0,;2.0,1.0,2.0,;0.0,2.0,2.0,;1.0,1.0,2.0,;3.0,0.0,0.0,;2.0,1.0,2.0,;3.0,2.0,1.0,;",50,282.4684939,96.30%,24,5.333333333,88.89%,14,3.111111111,88.89%,5,1.111111111,88.89%,0,0,0.00%,43,280.9008332,96.30%,32,269.861872,96.30%,15,196.9968604,77.78%,13,222.173913,96.30%
JamerMejiaGarcia,unal1,IH-Project-2017-JamerMejiaGarcia_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,3.70%
nikolasto,unal1,IH-Project-2017-nikolasto_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,8,171.286957,40.74%,7,164.1452089,48.15%,4,138.076923,40.74%
gahormigag,unal1,IH-Project-2017-gahormigag_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,3.70%
ayperezc,unal1,IH-Project-2017-ayperezc_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,9,2,81.48%,4,0.888888889,66.67%,0,0,0.00%,0,0,0.00%,20,204.7740355,74.07%,16,211.711102,70.37%,4,139.4413408,40.74%,3,130,37.04%
anferoar96,unal2,IH-Project-2017-anferoar96_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"New York City Museums, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.034334764,96.56652361,9,90,81.48%,"0,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,59.26%,4,0.888888889,62.96%,"1.0,1.0,2.0,;",16,213.542369,66.67%,4,0.888888889,70.37%,3,0.666666667,70.37%,0,0,0.00%,0,0,0.00%,16,212.8732813,81.48%,16,221.346711,85.19%,12,209.3561873,74.07%,9,177.884841,62.96%
StevenEsmar,unal2,IH-Project-2017-StevenEsmar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,1,1,1,0,,0.048780488,95.12195122,7,70,55.56%,"0,1,1,1,0,1,1,1,0,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.347826087,44.44%,0,0,0.00%,,8,173.8176034,51.85%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,8,167.263427,62.96%,3,126.6666667,0.00%,3,126.666667,0.00%
dcastanedar,unal2,IH-Project-2017-dcastanedar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,0.00%,4,135.362319,33.33%
trickyjuggler,unal2,IH-Project-2017-trickyjuggler_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Art Galleries, Required Weather API, New York City Museums, School Safety Report, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.007936508,99.20634921,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",3,60,85.19%,"1.0,1.0,0.0,0.0,1.0,",8,44.44444444,85.19%,"3.0,0.0,2.0,1.0,1.0,1.0,",11,47.82608696,85.19%,19,4.222222222,77.78%,"1.0,1.0,2.0,;3.0,2.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;",40,299.0807453,88.89%,13,2.888888889,77.78%,7,1.555555556,85.19%,12,2.666666667,96.30%,0,0,0.00%,24,211.2064692,77.78%,20,225.870875,88.89%,24,218.7536232,88.89%,9,188.695652,70.37%
DaveValencia,unal2,IH-Project-2017-DaveValencia_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%
csalfonsol,unal2,IH-Project-2017-csalfonsol_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,1,0,0,1,1,"animate,bootstrap,jquery,",0.008695652,99.13043478,7,70,59.26%,"0,1,1,1,1,0,0,1,1,",4,80,92.59%,"1.0,1.0,0.0,1.0,1.0,",9,50,88.89%,"2.0,1.0,2.0,2.0,1.0,1.0,",13,56.52173913,88.89%,0,0,0.00%,,20,282.173913,85.19%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,8,177.6647243,59.26%,10,194.771167,74.07%,13,223.3437598,92.59%,10,196.086957,81.48%
tres-xxx,unal2,IH-Project-2017-tres-xxx_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%
buendiagon,unal2,IH-Project-2017-buendiagon_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%
DSFarfanF,unal2,IH-Project-2017-DSFarfanF_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%
jssanchezo,unal2,IH-Project-2017-jssanchezo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%
bsdiaza,unal2,IH-Project-2017-bsdiaza_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,7,165.083612,55.56%,3,126.6666667,0.00%,3,126.666667,0.00%
casc3798,unal2,IH-Project-2017-casc3798_webapp_phase5,Wed Nov 22 08:30:40 2017,0,6,"New York City Art Galleries, Bicycle Routes Across New York State: Map, Fire Department Directory for New York State, New York City Museums, Alternative Fuel Stations in New York, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"d3,animate,bootstrap,jquery,",0.054794521,94.52054795,9,90,77.78%,"0,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,59.26%,25,5.555555556,92.59%,"1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;0.0,1.0,2.0,;1.0,1.0,2.0,;",37,216.16306,70.37%,3,0.666666667,66.67%,3,0.666666667,70.37%,0,0,0.00%,0,0,0.00%,12,187.6558342,66.67%,14,205.029485,77.78%,11,205.591907,66.67%,10,196.746143,85.19%
jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York State Career Centers, Fire Department Directory for New York State, School Safety Report, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,",0.031847134,96.81528662,9,90,85.19%,"0,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.347826087,44.44%,14,3.111111111,74.07%,"3.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;",24,198.6220499,59.26%,14,3.111111111,81.48%,7,1.555555556,85.19%,2,0.444444444,77.78%,0,0,0.00%,24,199.1400966,70.37%,19,215.414789,81.48%,12,195.2242114,55.56%,10,195,77.78%
Anvido,unal2,IH-Project-2017-Anvido_webapp_phase5,Wed Nov 22 08:30:40 2017,1,5,"Required Weather API, New York City Art Galleries, NYCHA Development Data Book, New York City Museums, Fire Department Directory for New York State, ",1,1,1,1,1,1,1,1,"materialize,d3,jquery,",0.000956023,99.90439771,10,100,96.30%,"1,1,1,1,1,1,1,1,1,",3,60,85.19%,"1.0,1.0,0.0,0.0,1.0,",11,61.11111111,92.59%,"2.0,2.0,3.0,1.0,1.0,2.0,",14,60.86956522,92.59%,24,5.333333333,85.19%,"3.0,2.0,1.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;",48,326.9768615,92.59%,24,5.333333333,88.89%,10,2.222222222,92.59%,6,1.333333333,88.89%,0,0,0.00%,35,213.886738,85.19%,24,236.810278,92.59%,19,226.4446801,96.30%,13,224.381002,96.30%
Jufcardenasmo,unal2,IH-Project-2017-Jufcardenasmo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,2,"New York City Art Galleries, Zillow Home Value Searching API, ",1,1,1,0,0,0,1,1,"bootstrap,animate,d3,jquery,",0.028328612,97.16713881,6,60,48.15%,"0,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.347826087,44.44%,4,0.888888889,62.96%,"1.0,0.0,0.0,;3.0,0.0,0.0,;",11,166.7516799,44.44%,4,0.888888889,70.37%,0,0,0.00%,0,0,0.00%,0,0,0.00%,11,163.2782348,51.85%,7,156.366885,51.85%,8,166.8030691,40.74%,6,150.074963,44.44%
federgolo,unal2,IH-Project-2017-federgolo_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Locations Providing Seasonal Flu Vaccinations, NYCHA Development Data Book, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.009852217,99.01477833,8,80,70.37%,"1,0,1,1,0,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.347826087,44.44%,20,4.444444444,81.48%,"1.0,1.0,2.0,;3.0,0.0,2.0,;3.0,2.0,2.0,;1.0,1.0,2.0,;",29,192.1548749,55.56%,14,3.111111111,81.48%,6,1.333333333,81.48%,1,0.222222222,74.07%,0,0,0.00%,22,180.6077225,62.96%,15,185.675413,70.37%,12,204.0915889,62.96%,8,175.186056,59.26%
serbatero,unal2,IH-Project-2017-serbatero_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,1,"d3,animate,bootstrap,jquery,",0.01048218,98.95178197,6,60,51.85%,"0,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,70.37%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.08695652,70.37%,0,0,0.00%,,12,211.125695,62.96%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,11,201.3121959,74.07%,7,166.461015,59.26%,9,184.6306458,51.85%,9,184.138905,66.67%
GabrielUnal,unal2,IH-Project-2017-GabrielUnal_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,7,166.0869565,55.56%,3,126.666667,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%
diefrodriguezcha,unal2,IH-Project-2017-diefrodriguezcha_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Art Galleries, New York City Population By Boroughs, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,",0.001017294,99.8982706,8,80,74.07%,"1,0,1,1,0,1,1,1,1,",8,160,96.30%,"1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,",24,133.3333333,96.30%,"3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,",32,139.1304348,96.30%,24,5.333333333,85.19%,"1.0,1.0,2.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",64,463.4924735,96.30%,33,7.333333333,96.30%,0,0,0.00%,0,0,0.00%,0,0,0.00%,54,299.8566555,96.30%,3,126.666667,0.00%,8,175.2285874,48.15%,11,206.086957,88.89%
adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase5,Wed Nov 22 08:30:40 2017,1,2,"Required Weather API, new york address points, ",1,1,1,1,0,0,1,1,"d3,bootstrap,jquery,",0.035123967,96.48760331,8,80,66.67%,"1,1,1,1,1,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",6,33.33333333,77.78%,"3.0,0.0,3.0,0.0,0.0,0.0,",7,30.43478261,77.78%,6,1.333333333,70.37%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",21,238.6905019,77.78%,0,0,0.00%,0,0,0.00%,3,0.666666667,81.48%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,14,201.8685657,59.26%,6,152.753623,48.15%
jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,4,0.888888889,77.78%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,12,174.028986,66.67%,8,168.9831314,44.44%,4,135.362319,33.33%
pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, new york address points, Zillow Home Value Searching API, Fire Department Directory for New York State, New York State Career Centers, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,font-awesome,jquery,",0.009375,99.0625,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,70.37%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.08695652,70.37%,34,7.555555556,96.30%,"1.0,1.0,2.0,;3.0,0.0,0.0,;3.0,2.0,2.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;3.0,2.0,1.0,;",50,258.7919686,81.48%,30,6.666666667,92.59%,24,5.333333333,96.30%,10,2.222222222,92.59%,4,0.888888889,96.30%,44,239.3783177,88.89%,43,282.095492,96.30%,22,217.5647619,85.19%,16,215.900577,92.59%
RafaelCruz15,unal2,IH-Project-2017-RafaelCruz15_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,12,214.1261722,81.48%,10,192.638681,74.07%
gimg1859,unal2,IH-Project-2017-gimg1859_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%
jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,4,0.888888889,85.19%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,15,206.9758454,70.37%,7,170,55.56%
dahrojasca,unal2,IH-Project-2017-dahrojasca_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,0,,0.036697248,96.33027523,5,50,44.44%,"0,1,1,1,0,0,0,1,0,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,59.26%,0,0,0.00%,,8,172.4172318,48.15%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,4,136.286014,48.15%,3,126.6666667,0.00%,5,146.875,40.74%
FredyRosero,unal2,IH-Project-2017-FredyRosero_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,",0.003649635,99.6350365,7,70,62.96%,"1,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",6,33.33333333,77.78%,"2.0,0.0,2.0,1.0,0.0,1.0,",7,30.43478261,77.78%,3,0.666666667,59.26%,"3.0,0.0,0.0,;",17,231.1712684,74.07%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,16,246.5217391,92.59%,3,126.666667,0.00%,12,211.7353166,77.78%,7,166.772575,51.85%
